GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-service,com.nhom1.inventory_service.repository,InventoryMapperImpl,84,25,11,1,22,7,9,2,3,2
inventory-service,com.nhom1.inventory_service.controller,InventoryController,41,18,2,0,9,4,5,2,4,2
inventory-service,com.nhom1.inventory_service,InventoryServiceApplication,5,3,0,0,2,1,1,1,1,1
inventory-service,com.nhom1.inventory_service.service,InventoryService,83,57,2,4,17,19,7,5,6,3
